State of legal residence (student) 2003-04,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Overseas territories and military,Foreign countries
    Total,1.4562,0.2191,2.0038,0.2881,11.4587,0.851,1.1278,0.2141,0.1652,6.4691,3.1057,0.2606,0.6501,4.2645,2.3547,0.9835,1.908,1.3207,0.9083,0.1666,1.5329,2.2986,2.9616,1.6654,1.205,1.5266,0.5864,0.4808,0.328,0.1982,2.7,0.7543,5.5705,1.7524,0.2336,3.9722,1.5407,1.2025,4.1683,0.5911,0.7961,0.1499,2.3296,8.2688,1.1958,0.1153,1.9605,2.4107,0.9605,3.3888,0.223,1.2307,0.0624,1.4628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution state 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  North Dakota,0,2.5514,1.387,0,0.923,0.822,0,0,0,0,0,0,0,0,0,0,0,0,1.1299,0,0,0,0,26.7459,0,0,3.402,0,0,0,0,0,0,0,47.1949,0,0,0,0,0,0,3.5131,0,0,0,0,0,5.2597,0,3.4792,2.9412,0,0,0.6505
  Ohio,0,0,0,0,0.183,0,0.0364,0,0,0.2361,0,0,0,0.2587,2.0839,0.1562,0.2108,0.0754,0,0,0.3167,0,0.351,0,0,0,0,0,0,0,0,0,0.0775,0,0,94.466,0.4327,0,0.4503,0,0,0,0.1732,0.086,0,0,0.201,0,0.0168,0.069,0,0,0,0.1193
  Oklahoma,0,0,0,0.4479,0.4988,0.4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1142,0,0,0,0,0,0,0,0,0,0,89.7867,0,0,0,0,0,0,3.3962,0,0,0,0,0,0,0,0,0,5.2564
  Oregon,0,0.5276,2.0238,0,5.4234,0.259,0,0,0,0.1119,0,0.9709,0.8151,0.571,0,0,0,0,0,0,0,0,0,0.2738,0,0.1363,0.2778,0,0,0,0,0.5346,0.0218,0,0,0,0,80.4393,0,0,0,0,0,0.1825,0,0,0.2707,5.5338,0,0,0,0,0,1.6268
  Pennsylvania,0.0397,0,0.0843,0,0.2653,0.0783,0.4914,0.0064,0.0809,0.2124,0,0,0,0.0835,0,0.1087,0.0397,0,0,0,1.937,0.5489,0.13,0.1247,0,0.0356,0.0397,0,0,0,3.6232,0,1.2087,0,0.0198,2.6681,0,0,85.4579,0.0783,0,0.036,0,0.1757,0,0,0.3328,0.1108,0.0803,0,0,0,0,1.9018
  Rhode Island,0,0,0,0,0.5997,0,13.4976,0,0,0,0.5775,0,0,0.6194,0.8117,0,0,0,0,0.9292,0.311,15.3813,0,0,0,0,0,0,0,2.5764,5.9996,0,8.4898,0,0,0.9321,0.3328,0,2.4156,42.2115,0,0.0839,0.5152,0,0,1.1682,1.2419,0,0,0.3486,0,0,0,0.957
  South Carolina,0,0,0,0,0,0,0,0.4952,0,1.6223,2.0224,0,0,0.709,0,0,0,0,0,0,1.2022,0.5504,1.0864,0,0,0,0,0,0,0,0.9044,0,0.6014,3.8901,0,0,0,0,0.2061,0,84.3439,0,0,0,0,0,2.3661,0,0,0,0,0,0,0
  South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  Tennessee,0.6402,0,0.0867,0.7665,0.0928,0,0,0,0,0.6187,1.4392,0,0,0.7089,0.6699,0,0,0.8139,0.0533,0.0918,0,0.2582,0.3682,0.1401,1.5893,0.5897,0,0,0,0,0.1671,0,0.1376,0.4341,0,0.378,0.1893,0,0.15,0.9982,0.7008,0,85.9009,0.2834,0,0,0.3768,0.0695,0.1782,0.3658,0,0,0,0.7426
  Texas,0,0,0.042,0.119,0.2944,0.1139,0,0,0,0.0997,0.8763,0,0.0657,0.2048,0,0.1111,0.1954,0,0.3636,0,0.0351,0.0388,0,0,0.051,0.0416,0.012,0.011,0.0655,0,0.0647,0.0125,0.045,0.2587,0,0,0.3649,0,0.2794,0,0,0,0.1179,93.0053,0,0,0.2135,0.0793,0,0.051,0,0.1566,0.2504,2.3601
