Major during first year,Undeclared/no major,Humanities,Social/behavioral sciences,Life sciences,Physical sciences,Math,Computer/information science,Engineering,Education,Business/management,Health,Vocational/technical,Other technical/professional
  14 < X < 17,20.8145,19.5987,1.8135,3.4528,0,1.7139,1.0437,3.3816,9.4041,17.9419,12.2129,2.2884,6.3342
  18 < X < 21,27.9295,12.0471,6.27,6.5261,0.6347,1.1222,1.758,3.1237,8.0534,9.6882,12.715,0.6335,9.4984
  22 < X < 25,28.6571,13.3202,3.3002,7.4399,1.2562,0.0587,0.4116,5.2027,9.706,11.9641,12.1558,0.5051,6.0224
  26 < X < 29,27.7155,7.6068,7.0147,7.2735,1.7331,0.0948,7.7388,11.8974,5.1986,8.9361,5.731,2.7483,6.3114
  30 < X < 33,23.2553,14.5358,4.7386,14.0292,4.7852,0.6856,3.3873,19.2192,2.8611,3.5704,0.8005,0,8.1317
  34 < X <= 36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 ,,,,,,,,,,,,,
State location of high school,,,,,,,,,,,,,
  Alabama,9.4022,15.7025,3.2658,3.2272,0,1.1361,0,13.9024,13.7867,12.9521,13.9021,1.6837,11.0392
  Alaska,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Arizona,44.2018,9.6201,1.791,2.4074,0.4248,0,0.4411,7.5071,1.464,11.2822,3.6968,0,17.1636
  Arkansas,23.619,25.7909,2.7849,3.4812,0,0,1.2368,8.4433,1.4497,7.946,10.3398,9.7287,5.1798
  California,35.98,8.2145,8.1661,10.4437,0.6129,0.3639,0.5902,10.3149,2.484,9.4726,6.339,0.2944,6.7237
  Colorado,31.1392,5.838,5.4203,6.4727,0,0,1.9374,1.0384,5.2434,20.6251,5.7261,1.9522,14.6072
  Connecticut,20.1806,10.9027,9.5403,2.492,0.8506,0,0,4.226,19.1539,12.0584,8.6592,4.6433,7.2929
  Delaware,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Florida,23.2918,17.7381,2.8435,9.4147,0,0.3605,3.3923,8.3828,0.5348,5.9018,21.2046,1.6036,5.3315
  Georgia,29.1126,6.8792,1.3883,11.2683,2.5427,0.5322,0.7147,11.6325,3.8191,10.6064,14.1309,0.4159,6.9571
  Hawaii,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Idaho,4.7793,20.0497,3.8049,1.513,0,0.9112,0,10.0957,9.7537,13.2491,22.772,0,13.0714
  Illinois,29.3472,13.5351,7.1232,3.2485,1.1547,0.3246,1.2775,5.5808,10.8068,14.5487,6.1176,1.999,4.9362
  Indiana,25.8001,2.4389,9.5862,4.8192,1.9814,0.9713,1.7625,2.2767,14.9724,11.7609,6.5754,1.1871,15.868
  Iowa,9.9035,22.7236,7.0367,4.5795,0.3084,0,5.1916,5.8572,8.077,12.2256,4.6754,0,19.4215
  Kansas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  Kentucky,42.5248,13.4379,4.5992,2.5708,0.6534,0.6926,0.9821,1.1926,1.2346,13.9836,17.4549,0,0.6736
  Louisiana,27.1339,7.2588,4.9507,6.3486,0,0,0.8215,1.8025,3.1308,16.0405,21.5214,0,10.9914
  Maine,19.5525,10.1085,0,2.0255,0,0,0,3.4792,5.4665,0,28.0487,1.6394,29.6798
  Maryland,25.0432,11.5295,10.5048,7.8567,2.037,1.3281,0,11.5457,6.191,7.0092,3.2152,1.0919,12.6477
  Massachusetts,20.324,9.3381,7.0297,7.3291,1.1944,0.4132,2.5434,12.7125,2.1873,8.7614,2.7113,0.6486,24.8069
  Michigan,39.541,8.4174,4.8747,4.4757,0.2346,0,1.1745,7.7856,5.2053,13.808,3.8069,0.3476,10.3287
  Minnesota,27.415,22.756,3.2259,6.4659,2.2135,0.5202,2.1018,4.795,3.6582,12.0798,7.36,0,7.4087
  Mississippi,5.8957,29.866,7.1132,1.6739,0.8808,0.1893,2.3934,4.0197,15.5783,13.8244,13.2229,0,5.3424
  Missouri,27.0182,7.3276,8.6749,7.1144,2.3677,0,0.4828,12.7865,11.0689,9.5635,5.5087,1.0855,7.0012
  Montana,9.2405,32.4407,3.6761,0,1.7346,2.4526,3.2218,0.9936,23.8134,11.154,5.8269,2.3515,3.0942
  Nebraska,24.6618,7.5382,1.9953,0,1.4199,0,1.1213,9.4722,12.4269,14.5191,6.1601,8.3549,12.3304
  Nevada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  New Hampshire,26.6107,5.4645,9.1718,11.9223,1.6512,2.8426,0,9.618,0,12.4087,10.1094,0,10.2009
  New Jersey,32.5767,13.7342,9.9245,3.7271,1.1073,0.5599,2.8989,9.0663,3.4889,6.1321,5.0188,0.8232,10.942
  New Mexico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
  New York,22.4824,15.7773,9.9048,6.029,0.6168,0.6677,3.9479,7.9602,2.9458,10.9299,7.5684,0.5299,10.6399
  North Carolina,51.6288,6.1383,4.2761,5.4861,0.5691,0.5074,0.6915,6.1928,4.7254,9.0524,5.6867,0,5.0454
  North Dakota,33.4939,1.6351,3.7496,1.2334,0,5.2945,4.3922,11.0167,19.8669,16.3036,0,0,3.014
  Ohio,24.0704,3.6196,7.9771,5.2395,1.5227,0.4192,0.8085,6.179,7.3843,17.493,17.3977,0.1426,7.7465
  Oklahoma,39.9715,5.7846,3.2883,6.1126,0,1.7821,0.4014,1.9568,13.3434,5.1887,5.5546,0.2081,16.4079
  Oregon,32.7005,16.798,3.412,3.1236,1.2011,0,0,1.7673,0.6914,9.037,21.4514,0,9.8177
